mz,RT,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18
366.1081496,0.63335,69990.09306,41210.30176,48793.86292,45256.30062,70363.80017,67118.55176,73452.62945,46949.2002,50316.0642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530.0871438,6.751233333,56080.07331,29492.58116,45625.3395,57682.08478,24260.29489,8106.761108,3542.255094,8426.658616,23849.55017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369.1157536,0.63335,21619.15678,18953.52169,19374.26314,22164.75825,26561.63517,19903.36285,24576.82335,19178.77247,23616.07134,0,0,0,0,0,0,0,41.2233426,0.863913368,19.96487721,0,0,0,0,0,0,0,0
489.0147796,7.956016667,17290.78472,9497.99915,14484.9574,16212.4937,12551.18637,6689.854258,3864.781067,5702.29357,3278.057434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417.1817248,7.363783333,55668.91785,55920.67542,38141.81879,35279.60847,49229.72502,24973.29055,9807.55957,13330.60435,19951.47534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520.0586539,6.751233333,49760.90295,51195.79995,34873.27856,27162.15657,17775.75714,11488.58921,21289.80897,14675.35847,12696.65673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453.0495842,4.611866667,1064.8909,1804.933212,3178.986408,2397.914357,2493.244683,1749.512308,2334.228638,2751.087463,2069.410186,9100.02759,8771.360535,12721.30103,11750.98995,1428.09375,8055.198484,0,0,0,0,0,0,0,0,0,0,0,0
251.0917963,6.37015,154006.9208,172698.3605,184447.6479,167421.9961,163296.2029,154569.3411,160153.8282,143888.0577,136280.6343,68612.21564,61299.04262,68263.02376,54405.7878,59945.37089,57492.35731,69038.84477,62370.53595,66733.05327,58807.22015,60009.88119,50103.16149,65857.98613,63410.50444,67724.62082,54359.03663,59757.97957,52372.52442
385.0630261,4.611866667,5311.813232,5711.532052,4414.267736,5074.292928,4276.705973,4167.714578,3476.429108,3820.351665,2265.651001,12983.5426,11377.54613,16538.11717,16056.88097,4516.44758,11608.9697,0,0,0,0,0,0,0,0,0,0,0,0
350.011754,6.093933333,38436.16024,36469.82912,39171.38407,28669.51901,31354.83643,17264.44583,12988.42051,14721.93616,7149.018857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.38347907,0.407898268,0,0
